Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Dalton Rushing (43677205),Dalton Rushing,43677205,CPT,9000,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.37
OF,A.J. Ewing (43677206),A.J. Ewing,43677206,CPT,8700,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.43
3B,Max Muncy (43677095),Max Muncy,43677095,UTIL,8600,LAD@NYM 07/24/2026 07:10PM ET,LAD,7.68
OF,Luis Robert Jr. (43677207),Luis Robert Jr.,43677207,CPT,8400,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.15
OF,Andy Pages (43677096),Andy Pages,43677096,UTIL,8200,LAD@NYM 07/24/2026 07:10PM ET,LAD,8.54
C,Francisco Alvarez (43677208),Francisco Alvarez,43677208,CPT,8100,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.91
SS,Mookie Betts (43677097),Mookie Betts,43677097,UTIL,8000,LAD@NYM 07/24/2026 07:10PM ET,LAD,7.46
1B/3B,Mark Vientos (43677221),Mark Vientos,43677221,CPT,7800,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.41
2B/3B,Tommy Edman (43677098),Tommy Edman,43677098,UTIL,7600,LAD@NYM 07/24/2026 07:10PM ET,LAD,8.11
2B,Marcus Semien (43677209),Marcus Semien,43677209,CPT,7500,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.77
OF,Kyle Tucker (43677099),Kyle Tucker,43677099,UTIL,7400,LAD@NYM 07/24/2026 07:10PM ET,LAD,7.03
C,Will Smith (43677118),Will Smith,43677118,UTIL,7200,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.21
OF,Alex Call (43677210),Alex Call,43677210,CPT,7200,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
3B,Bo Bichette (43677100),Bo Bichette,43677100,UTIL,7000,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.72
2B/3B,Jorge Polanco (43677211),Jorge Polanco,43677211,CPT,6900,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.86
OF,Teoscar Hernandez (43677101),Teoscar Hernandez,43677101,UTIL,6800,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.85
OF,Carson Benge (43677102),Carson Benge,43677102,UTIL,6600,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.46
2B,Alex Freeland (43677212),Alex Freeland,43677212,CPT,6600,LAD@NYM 07/24/2026 07:10PM ET,LAD,4.44
SS,Francisco Lindor (43677103),Francisco Lindor,43677103,UTIL,6400,LAD@NYM 07/24/2026 07:10PM ET,NYM,7
2B/3B,Brett Baty (43677213),Brett Baty,43677213,CPT,6300,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.23
3B/OF,Kike Hernandez (43677119),Kike Hernandez,43677119,UTIL,6200,LAD@NYM 07/24/2026 07:10PM ET,LAD,15.5
C,Dalton Rushing (43677104),Dalton Rushing,43677104,UTIL,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.37
2B,Hyeseong Kim (43677222),Hyeseong Kim,43677222,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,4.91
RP,Jefry Yan (43677254),Jefry Yan,43677254,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Brusdar Graterol (43677255),Brusdar Graterol,43677255,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Tanner Scott (43677256),Tanner Scott,43677256,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
RP,Austin Warren (43677257),Austin Warren,43677257,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.38
RP,Daniel Duarte (43677258),Daniel Duarte,43677258,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.11
RP,Devin Williams (43677259),Devin Williams,43677259,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.99
RP,Luke Weaver (43677260),Luke Weaver,43677260,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.79
RP,Charlie Barnes (43677261),Charlie Barnes,43677261,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.15
RP,Alex Carrillo (43677262),Alex Carrillo,43677262,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Huascar Brazoban (43677263),Huascar Brazoban,43677263,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.72
RP,Joey Gerber (43677264),Joey Gerber,43677264,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.96
RP,Cionel Perez (43677265),Cionel Perez,43677265,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.59
RP,Ben Casparius (43677266),Ben Casparius,43677266,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.5
RP,Brooks Raley (43677267),Brooks Raley,43677267,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.22
RP,Brock Stewart (43677268),Brock Stewart,43677268,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.31
RP,Evan Phillips (43677269),Evan Phillips,43677269,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.01
RP,Jordan Weems (43677270),Jordan Weems,43677270,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Alex Vesia (43677271),Alex Vesia,43677271,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.99
RP,Reed Garrett (43677272),Reed Garrett,43677272,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Kyle Hurt (43677273),Kyle Hurt,43677273,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.12
RP,Seth Halvorsen (43677274),Seth Halvorsen,43677274,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.64
RP,Blake Treinen (43677275),Blake Treinen,43677275,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.78
RP,Wyatt Mills (43677276),Wyatt Mills,43677276,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.03
RP,Will Klein (43677277),Will Klein,43677277,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.86
RP,Dedniel Nunez (43677278),Dedniel Nunez,43677278,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Jonathan Pintaro (43677279),Jonathan Pintaro,43677279,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.23
RP,Edwin Diaz (43677280),Edwin Diaz,43677280,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.07
RP,Edgardo Henriquez (43677281),Edgardo Henriquez,43677281,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.59
RP,Jake Eder (43677282),Jake Eder,43677282,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.65
RP,Paul Gervase (43677283),Paul Gervase,43677283,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.51
RP,Jack Dreyer (43677284),Jack Dreyer,43677284,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.70
