Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Jac Caglianone (43668884),Jac Caglianone,43668884,UTIL,8600,KC@DET 07/23/2026 06:40PM ET,KC,6.90
3B,Nick Loftin (43668994),Nick Loftin,43668994,CPT,8400,KC@DET 07/23/2026 06:40PM ET,KC,5.91
OF,Riley Greene (43668885),Riley Greene,43668885,UTIL,8200,KC@DET 07/23/2026 06:40PM ET,DET,7.82
OF,Matt Vierling (43668995),Matt Vierling,43668995,CPT,8100,KC@DET 07/23/2026 06:40PM ET,DET,4.56
1B,Vinnie Pasquantino (43668886),Vinnie Pasquantino,43668886,UTIL,8000,KC@DET 07/23/2026 06:40PM ET,KC,6.55
2B,Gleyber Torres (43668887),Gleyber Torres,43668887,UTIL,7800,KC@DET 07/23/2026 06:40PM ET,DET,7.42
OF/SS,Javier Baez (43669007),Javier Baez,43669007,CPT,7800,KC@DET 07/23/2026 06:40PM ET,DET,5.29
2B,Michael Massey (43668888),Michael Massey,43668888,UTIL,7600,KC@DET 07/23/2026 06:40PM ET,KC,5.54
OF,Starling Marte (43668996),Starling Marte,43668996,CPT,7500,KC@DET 07/23/2026 06:40PM ET,KC,4.11
3B/SS,Maikel Garcia (43668906),Maikel Garcia,43668906,UTIL,7400,KC@DET 07/23/2026 06:40PM ET,KC,6.84
OF,Lane Thomas (43668889),Lane Thomas,43668889,UTIL,7200,KC@DET 07/23/2026 06:40PM ET,KC,5.84
OF,Isaac Collins (43668997),Isaac Collins,43668997,CPT,7200,KC@DET 07/23/2026 06:40PM ET,KC,5.84
OF,Kerry Carpenter (43668890),Kerry Carpenter,43668890,UTIL,7000,KC@DET 07/23/2026 06:40PM ET,DET,5.37
OF,Wenceel Perez (43669008),Wenceel Perez,43669008,CPT,6900,KC@DET 07/23/2026 06:40PM ET,DET,5.09
3B,Colt Keith (43668891),Colt Keith,43668891,UTIL,6600,KC@DET 07/23/2026 06:40PM ET,DET,5.05
2B/SS,Zach McKinstry (43668998),Zach McKinstry,43668998,CPT,6600,KC@DET 07/23/2026 06:40PM ET,DET,4.26
1B,Salvador Perez (43668892),Salvador Perez,43668892,UTIL,6400,KC@DET 07/23/2026 06:40PM ET,KC,5.98
OF,James Outman (43668999),James Outman,43668999,CPT,6300,KC@DET 07/23/2026 06:40PM ET,DET,2.80
OF/SS,Tyler Tolbert (43668893),Tyler Tolbert,43668893,UTIL,6200,KC@DET 07/23/2026 06:40PM ET,KC,4.69
1B,Spencer Torkelson (43668894),Spencer Torkelson,43668894,UTIL,6000,KC@DET 07/23/2026 06:40PM ET,DET,6.60
OF,John Rave (43669009),John Rave,43669009,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,4.67
OF,Parker Meadows (43669010),Parker Meadows,43669010,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,5.42
RP,Beck Way (43669046),Beck Way,43669046,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,3.32
RP,Tyler Holton (43669047),Tyler Holton,43669047,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,2.63
RP,Nick Mears (43669048),Nick Mears,43669048,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.00
RP,Lucas Erceg (43669049),Lucas Erceg,43669049,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,1.72
RP,Andre Granillo (43669050),Andre Granillo,43669050,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,-0.78
