Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Nick Frasso (43667820),Nick Frasso,43667820,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
SP,Ben Kudrna (43667821),Ben Kudrna,43667821,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Ty Madden (43667822),Ty Madden,43667822,P,5700,KC@DET 07/23/2026 06:40PM ET,DET,9.54
RP,Sawyer Gipson-Long (43667823),Sawyer Gipson-Long,43667823,P,5700,KC@DET 07/23/2026 06:40PM ET,DET,0
OF,Jordan Walker (43667694),Jordan Walker,43667694,OF,5500,ARI@STL 07/23/2026 05:15PM ET,STL,9.62
SP,Tink Hence (43667824),Tink Hence,43667824,P,5500,ARI@STL 07/23/2026 05:15PM ET,STL,0
SP,Tekoah Roby (43667825),Tekoah Roby,43667825,P,5500,ARI@STL 07/23/2026 05:15PM ET,STL,0
SP,Brycen Mautz (43667826),Brycen Mautz,43667826,P,5500,ARI@STL 07/23/2026 05:15PM ET,STL,3.15
SP,Richard Fitts (43667827),Richard Fitts,43667827,P,5500,ARI@STL 07/23/2026 05:15PM ET,STL,0
OF,Corbin Carroll (43667695),Corbin Carroll,43667695,OF,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,8.64
RP,Gerardo Carrillo (43667828),Gerardo Carrillo,43667828,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,2.1
SP,Dylan Ray (43667829),Dylan Ray,43667829,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,0
RP,Thomas Hatch (43667830),Thomas Hatch,43667830,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,0
SP,Cristian Mena (43667831),Cristian Mena,43667831,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,0
SP,Mitch Bratt (43667832),Mitch Bratt,43667832,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,4.67
SP,Jose Cabrera (43667833),Jose Cabrera,43667833,P,5300,ARI@STL 07/23/2026 05:15PM ET,ARI,6.09
2B,Ketel Marte (43667696),Ketel Marte,43667696,2B,5200,ARI@STL 07/23/2026 05:15PM ET,ARI,8.19
C,Carter Jensen (43667697),Carter Jensen,43667697,C,5100,KC@DET 07/23/2026 06:40PM ET,KC,6.83
2B,JJ Wetherholt (43667698),JJ Wetherholt,43667698,2B,5000,ARI@STL 07/23/2026 05:15PM ET,STL,8.15
C,Dillon Dingler (43667699),Dillon Dingler,43667699,C,4900,KC@DET 07/23/2026 06:40PM ET,DET,8.54
3B/SS,Kevin McGonigle (43667700),Kevin McGonigle,43667700,3B/SS,4800,KC@DET 07/23/2026 06:40PM ET,DET,8.20
OF,Jac Caglianone (43667702),Jac Caglianone,43667702,OF,4700,KC@DET 07/23/2026 06:40PM ET,KC,6.90
OF,Riley Greene (43667703),Riley Greene,43667703,OF,4600,KC@DET 07/23/2026 06:40PM ET,DET,7.82
1B,Alec Burleson (43667704),Alec Burleson,43667704,1B,4500,ARI@STL 07/23/2026 05:15PM ET,STL,8.12
C,Gabriel Moreno (43667705),Gabriel Moreno,43667705,C,4400,ARI@STL 07/23/2026 05:15PM ET,ARI,7.51
1B,Vinnie Pasquantino (43667706),Vinnie Pasquantino,43667706,1B,4300,KC@DET 07/23/2026 06:40PM ET,KC,6.55
2B,Gleyber Torres (43667707),Gleyber Torres,43667707,2B,4200,KC@DET 07/23/2026 06:40PM ET,DET,7.42
SS,Geraldo Perdomo (43667708),Geraldo Perdomo,43667708,SS,4100,ARI@STL 07/23/2026 05:15PM ET,ARI,7.29
2B,Michael Massey (43667709),Michael Massey,43667709,2B,4000,KC@DET 07/23/2026 06:40PM ET,KC,5.54
3B/SS,Maikel Garcia (43667753),Maikel Garcia,43667753,3B/SS,4000,KC@DET 07/23/2026 06:40PM ET,KC,6.84
SP,Jake Miller (43667835),Jake Miller,43667835,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Aaron Sanchez (43667837),Aaron Sanchez,43667837,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,James McArthur (43667838),James McArthur,43667838,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
SP,Steven Zobac (43667839),Steven Zobac,43667839,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Brenan Hanifee (43667840),Brenan Hanifee,43667840,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.30
RP,Lucas Erceg (43667842),Lucas Erceg,43667842,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,1.72
RP,Beck Way (43667844),Beck Way,43667844,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,3.32
RP,John Schreiber (43667846),John Schreiber,43667846,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.01
RP,Jose Cuas (43667847),Jose Cuas,43667847,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,4.45
RP,Andre Granillo (43667848),Andre Granillo,43667848,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,-0.78
RP,Brant Hurter (43667849),Brant Hurter,43667849,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.63
RP,Matt Strahm (43667852),Matt Strahm,43667852,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,1.57
RP,Carlos Estevez (43667856),Carlos Estevez,43667856,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,-14.85
RP,Kyle Finnegan (43667858),Kyle Finnegan,43667858,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.69
RP,Enmanuel De Jesus (43667862),Enmanuel De Jesus,43667862,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,4.06
RP,Drew Sommers (43667863),Drew Sommers,43667863,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.84
RP,Beau Brieske (43667864),Beau Brieske,43667864,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.9
RP,Ricky Vanasco (43667866),Ricky Vanasco,43667866,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,-2.35
RP,Jacob Waguespack (43667868),Jacob Waguespack,43667868,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.68
RP,Burch Smith (43667873),Burch Smith,43667873,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.94
RP,Connor Seabold (43667875),Connor Seabold,43667875,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.08
RP,Tyler Holton (43667877),Tyler Holton,43667877,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.63
RP,Bailey Horn (43667879),Bailey Horn,43667879,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Kenley Jansen (43667880),Kenley Jansen,43667880,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.79
RP,Steven Cruz (43667881),Steven Cruz,43667881,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,3.26
RP,Eli Morgan (43667885),Eli Morgan,43667885,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.03
RP,Alex Lange (43667886),Alex Lange,43667886,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.05
RP,Easton McGee (43667887),Easton McGee,43667887,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.65
RP,Nick Mears (43667890),Nick Mears,43667890,P,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.00
RP,Will Vest (43667892),Will Vest,43667892,P,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.44
RP,Blake Walston (43667834),Blake Walston,43667834,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,0
RP,Cooper Hjerpe (43667836),Cooper Hjerpe,43667836,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,0
RP,Ryan Thompson (43667841),Ryan Thompson,43667841,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,2.40
RP,Gordon Graceffo (43667843),Gordon Graceffo,43667843,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.90
RP,Juan Burgos (43667845),Juan Burgos,43667845,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,0.8
RP,Justin Bruihl (43667850),Justin Bruihl,43667850,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.13
RP,George Soriano (43667851),George Soriano,43667851,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.91
RP,Matt Svanson (43667853),Matt Svanson,43667853,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.18
RP,Max Rajcic (43667854),Max Rajcic,43667854,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,3.18
RP,Andrew Saalfrank (43667855),Andrew Saalfrank,43667855,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,0
RP,Luis Gastelum (43667857),Luis Gastelum,43667857,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,3.02
RP,Philip Abner (43667859),Philip Abner,43667859,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,1.72
RP,Kade Strowd (43667860),Kade Strowd,43667860,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,-0.15
RP,Drey Jameson (43667861),Drey Jameson,43667861,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,2.86
RP,A.J. Puk (43667865),A.J. Puk,43667865,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,0
SP,Riley O'Brien (43667867),Riley O'Brien,43667867,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.95
RP,Brandyn Garcia (43667869),Brandyn Garcia,43667869,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,2.98
RP,Juan Morillo (43667870),Juan Morillo,43667870,P,4000,ARI@STL 07/23/2026 05:15PM ET,ARI,3.32
RP,Ryne Stanek (43667871),Ryne Stanek,43667871,P,4000,ARI@STL 07/23/2026 05:15PM ET,STL,2.34
