#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
195,Mike Burrows,HOU,4,8,0,17,16,90.1,7.17,3.29,1.89,.311,71.4%,37.5%,15.4%,95.1,5.58,4.58,5.48,4.81,-0.1
196,JR Ritchie,ATL,1,2,1,9,7,43.2,8.45,5.36,1.44,.254,73.0%,44.6%,16.3%,94.6,4.53,4.61,5.38,4.79,-0.1
197,Javier Assad,CHC,6,1,0,14,7,56.1,5.27,2.40,1.60,.224,75.5%,42.8%,14.5%,93.3,4.15,4.64,5.10,4.65,-0.1
198,Kyle Finnegan,DET,2,0,1,38,0,40.1,6.92,5.58,0.89,.288,92.1%,46.0%,8.7%,96.6,2.23,4.34,4.72,5.16,-0.2
199,Adrian Houser,SFG,2,6,0,17,14,74.1,6.05,3.15,1.57,.296,68.2%,42.2%,13.8%,95.6,5.33,5.40,5.25,4.90,-0.2
200,Brandon Pfaadt,ARI,1,1,0,14,4,43.1,6.85,3.74,1.66,.273,66.3%,49.3%,16.3%,93.3,5.40,4.94,5.44,4.76,-0.2
201,Erick Fedde,CHW,4,6,0,18,9,85.0,6.04,3.60,1.59,.278,75.2%,38.7%,13.6%,94.0,4.34,4.69,5.37,5.04,-0.2
202,Jeffrey Springs,ATH,3,8,0,18,18,93.1,7.71,3.18,2.31,.269,66.7%,33.8%,17.8%,91.6,5.79,4.62,5.86,4.72,-0.3
203,Jacob Lopez,ATH,4,3,0,12,10,50.2,6.75,5.86,1.95,.304,69.6%,31.8%,12.9%,90.9,6.75,3.98,6.39,6.11,-0.3
204,Ron Marinaccio,SDP,1,0,0,28,0,42.0,7.29,3.86,1.71,.294,77.7%,44.1%,16.0%,93.8,4.93,4.87,5.47,4.80,-0.3
205,Simeon Woods Richardson,2 Tms,1,7,0,15,10,57.2,4.84,4.99,1.40,.314,63.1%,37.2%,10.5%,93.0,6.40,5.91,5.83,6.07,-0.3
206,Gordon Graceffo,STL,6,1,1,35,0,40.1,4.02,4.24,0.89,.186,72.5%,44.6%,7.5%,95.6,3.35,6.29,5.07,5.77,-0.4
207,Eric Lauer,2 Tms,4,5,0,14,11,70.2,5.60,3.18,2.17,.226,78.9%,32.1%,15.0%,90.8,4.84,5.07,6.10,5.40,-0.5
208,Miles Mikolas,WSN,2,7,0,18,7,84.1,5.02,1.81,1.92,.269,63.2%,44.0%,16.5%,93.5,5.44,4.79,5.37,4.56,-0.5
209,Merrill Kelly,ARI,6,8,0,15,15,86.2,5.50,3.63,1.97,.291,74.3%,37.9%,15.8%,92.0,5.71,7.79,6.02,5.27,-0.7
210,Jameson Taillon,CHC,2,5,0,13,13,67.2,7.85,3.06,2.66,.246,80.6%,34.7%,19.8%,91.9,5.19,5.47,6.32,4.74,-0.7
211,Zack Littell,WSN,7,6,0,18,12,86.0,5.44,2.72,2.30,.243,71.3%,33.9%,16.2%,91.7,5.02,6.52,6.20,5.28,-0.8
