Name,MLBAM_ID,Team,G,GS,IP,TBF,SO,K/9
Christian Scott,681035,New York Mets,23,23,110.0000,474,134,10.9636
Luisangel Acuña,682668,Chicago White Sox,3,0,2.3333,10,0,0.0000
Eduard Bazardo,660825,Seattle Mariners,71,0,65.3333,287,67,9.2296
Peyton Gray,682608,Texas Rangers,49,0,56.0000,249,60,9.6429
Landon Knack,689017,Los Angeles Dodgers,4,0,11.6667,50,8,6.1714
Jorge Mateo,622761,Atlanta Braves,3,0,2.3333,12,1,3.8571
Cody Ponce,664074,Toronto Blue Jays,1,1,2.3333,10,3,11.5714
Tanner Rainey,663432,Detroit Tigers,6,0,7.0000,31,6,7.7143
Carlos Rodriguez,692230,Milwaukee Brewers,4,0,9.3333,42,8,7.7143
Manuel Rodríguez,655889,Tampa Bay Rays,4,0,4.6667,24,8,15.4286
Beck Way,694360,Kansas City Royals,19,1,23.3333,105,21,8.1000
Jacob deGrom,594798,Texas Rangers,30,30,158.6667,645,196,11.1176
Jared Jones,683003,Pittsburgh Pirates,20,20,97.6667,402,118,10.8737
Ryan Zeferjahn,666171,Chicago Cubs,65,0,69.6667,304,94,12.1435
Chase Dollander,801403,Colorado Rockies,10,3,44.0000,189,47,9.6136
Sandy Alcantara,645261,Miami Marlins,35,33,213.0000,890,152,6.4225
Riley Cornelio,683000,Washington Nationals,17,3,34.6667,153,38,9.8654
Elvis Alvarado,665660,Athletics,54,0,53.0000,220,62,10.5283
Matthew Boyd,571510,Chicago Cubs,22,22,126.6667,520,96,6.8211
Noah Cameron,702070,Kansas City Royals,30,29,172.3333,718,155,8.0948
José A. Ferrer,678606,Seattle Mariners,72,0,64.3333,288,54,7.5544
Bryan Woo,693433,Seattle Mariners,29,29,167.6667,684,167,8.9642
Hoby Milner,571948,Seattle Mariners,42,0,39.0000,165,21,4.8462
José Fermin,820862,Los Angeles Angels,52,0,52.6667,235,61,10.4241
Dietrich Enns,608650,Baltimore Orioles,13,0,16.0000,70,13,7.3125
Brett Kerry,695049,Los Angeles Angels,3,0,13.6667,54,12,7.9024
Carmen Mlodzinski,669387,Pittsburgh Pirates,36,12,120.6667,525,92,6.8619
Casey Mize,663554,San Diego Padres,25,25,127.3333,528,109,7.7042
Anthony Molina,683627,San Francisco Giants,9,5,34.0000,136,31,8.2059
Chase Shugart,663767,Philadelphia Phillies,45,0,52.0000,216,56,9.6923
Mick Abel,690953,Minnesota Twins,4,3,20.3333,93,23,10.1803
Jackson Jobe,695549,Detroit Tigers,8,8,40.6667,172,43,9.5164
John King,667463,Miami Marlins,50,1,49.6667,197,33,5.9799
Tommy Nance,667297,Minnesota Twins,56,0,58.6667,255,68,10.4318
Bryce Miller,682243,Seattle Mariners,21,20,112.6667,459,112,8.9467
Cole Wilcox,677961,Seattle Mariners,23,0,27.0000,123,28,9.3333
Tyler Mahle,641816,Atlanta Braves,27,27,148.3333,613,136,8.2517
Robert Gasser,688107,Milwaukee Brewers,20,19,103.3333,443,94,8.1871
Landen Roupp,694738,San Francisco Giants,29,29,155.0000,657,143,8.3032
Randy Vásquez,681190,San Diego Padres,31,22,134.6667,566,85,5.6807
Austin Warren,681810,New York Mets,40,2,49.3333,210,55,10.0338
Will Warren,701542,New York Yankees,31,29,152.3333,662,151,8.9212
Jordan Hicks,663855,Chicago White Sox,52,2,47.0000,213,62,11.8723
Adrian Houser,605288,San Francisco Giants,26,16,109.6667,470,75,6.1550
Brad Keller,641745,Philadelphia Phillies,32,0,31.3333,135,32,9.1915
David Morgan,688158,San Diego Padres,30,0,31.3333,153,37,10.6277
Ryne Stanek,592773,St. Louis Cardinals,70,0,62.6667,267,65,9.3351
Jesse Scholtens,669947,Tampa Bay Rays,11,2,44.6667,196,34,6.8507
Mason Adams,690279,Colorado Rockies,6,6,29.0000,124,31,9.6207
Framber Valdez,664285,Detroit Tigers,31,31,174.0000,758,135,6.9828
Ty Johnson,694494,Tampa Bay Rays,7,0,6.6667,28,11,14.8500
Ryan Watson,670245,Los Angeles Angels,52,0,71.0000,304,63,7.9859
Dylan Smith,681916,San Francisco Giants,40,0,37.6667,170,43,10.2743
Trevor Rogers,669432,Baltimore Orioles,29,29,165.6667,682,153,8.3119
Riley O'Brien,676617,St. Louis Cardinals,66,0,64.0000,276,64,9.0000
Ryan Gusto,687473,Miami Marlins,23,18,88.0000,392,74,7.5682
Bryce Elder,693821,Atlanta Braves,26,26,149.0000,633,121,7.3087
Shane Baz,669358,Baltimore Orioles,31,31,179.6667,769,154,7.7143
Ryan Helsley,664854,Baltimore Orioles,17,0,15.3333,68,21,12.3261
Ben Joyce,690829,Los Angeles Angels,16,0,15.3333,61,18,10.5652
Albert Suárez,544150,Baltimore Orioles,27,0,59.0000,247,41,6.2542
Kyle Bradish,680694,Baltimore Orioles,29,29,155.0000,669,142,8.2452
Daniel Lynch IV,663738,Kansas City Royals,55,9,80.6667,334,54,6.0248
Kyle Hurt,669165,Los Angeles Dodgers,44,1,45.6667,198,58,11.4307
Eury Pérez,691587,Miami Marlins,29,28,150.0000,631,162,9.7200
Gerardo Carrillo,672629,Arizona Diamondbacks,13,0,17.3333,81,21,10.9038
John Klein,804619,Minnesota Twins,3,0,4.3333,19,2,4.1538
Antonio Senzatela,622608,Milwaukee Brewers,55,0,71.3333,304,58,7.3178
Luis Severino,622663,Athletics,12,12,62.6667,271,65,9.3351
Kade Anderson,807739,Seattle Mariners,6,6,32.3333,131,28,7.7938
Kevin Ginkel,656464,Arizona Diamondbacks,72,0,66.6667,269,70,9.4500
Cody Bradford,674003,Texas Rangers,9,8,43.0000,187,21,4.3953
Ethan Roberts,681799,Chicago Cubs,23,0,25.6667,110,17,5.9610
Jonah Tong,804636,New York Mets,6,3,25.6667,114,25,8.7662
Aaron Civale,650644,Chicago Cubs,33,15,109.0000,482,91,7.5138
Andrew Morris,702193,Minnesota Twins,63,3,72.6667,316,68,8.4220
Bailey Ober,641927,Minnesota Twins,24,23,126.0000,535,91,6.5000
Ian Seymour,693855,Tampa Bay Rays,46,16,132.3333,550,158,10.7456
Zach McCambley,685112,Cincinnati Reds,10,0,10.6667,50,10,8.4375
Reiver Sanmartin,665665,San Francisco Giants,24,0,21.3333,93,16,6.7500
George Soriano,666277,St. Louis Cardinals,70,0,66.0000,290,66,9.0000
Andrés Muñoz,662253,Seattle Mariners,61,0,57.3333,240,89,13.9709
Shane Drohan,675660,Milwaukee Brewers,32,19,123.0000,523,123,9.0000
Nathan Eovaldi,543135,Texas Rangers,26,22,141.3333,595,141,8.9788
Kyle Harrison,690986,Milwaukee Brewers,27,24,113.6667,498,137,10.8475
Mark Leiter Jr.,643410,Athletics,36,0,33.6667,144,38,10.1584
Luis Gastelum,703725,St. Louis Cardinals,33,0,35.6667,147,42,10.5981
Steven Cruz,674444,Kansas City Royals,56,2,58.6667,246,65,9.9716
