Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3B/SS,Kevin McGonigle (43658921),Kevin McGonigle,43658921,3B/SS,4800,DET@CHC 07/22/2026 08:10PM ET,DET,8.26
SS,Corey Seager (43658663),Corey Seager,43658663,SS,4700,CWS@TEX 07/22/2026 08:05PM ET,TEX,6.96
3B/SS,Colson Montgomery (43658860),Colson Montgomery,43658860,3B/SS,4700,CWS@TEX 07/22/2026 08:05PM ET,CWS,7.77
C,Dillon Dingler (43658836),Dillon Dingler,43658836,C,4700,DET@CHC 07/22/2026 08:10PM ET,DET,8.60
SS,Otto Lopez (43658766),Otto Lopez,43658766,SS,4600,MIA@HOU 07/22/2026 08:10PM ET,MIA,9.08
OF,Riley Greene (43658808),Riley Greene,43658808,OF,4600,DET@CHC 07/22/2026 08:10PM ET,DET,7.83
OF,Wyatt Langford (43658918),Wyatt Langford,43658918,OF,4500,CWS@TEX 07/22/2026 08:05PM ET,TEX,9.24
SS,Jeremy Pena (43658713),Jeremy Pena,43658713,SS,4500,MIA@HOU 07/22/2026 08:10PM ET,HOU,8.6
1B/C,Liam Hicks (43658875),Liam Hicks,43658875,C/1B,4500,MIA@HOU 07/22/2026 08:10PM ET,MIA,7.89
2B,Gleyber Torres (43658695),Gleyber Torres,43658695,2B,4400,DET@CHC 07/22/2026 08:10PM ET,DET,7.42
OF,Sam Antonacci (43658928),Sam Antonacci,43658928,OF,4300,CWS@TEX 07/22/2026 08:05PM ET,CWS,7.91
1B,Michael Busch (43658805),Michael Busch,43658805,1B,4300,DET@CHC 07/22/2026 08:10PM ET,CHC,7.65
3B,Josh Jung (43658773),Josh Jung,43658773,3B,4200,CWS@TEX 07/22/2026 08:05PM ET,TEX,7.29
2B,Xavier Edwards (43658783),Xavier Edwards,43658783,2B,4200,MIA@HOU 07/22/2026 08:10PM ET,MIA,7.60
SS,Dansby Swanson (43658670),Dansby Swanson,43658670,SS,4200,DET@CHC 07/22/2026 08:10PM ET,CHC,7.79
3B,Alex Bregman (43658671),Alex Bregman,43658671,3B,4100,DET@CHC 07/22/2026 08:10PM ET,CHC,7.07
RP,Chris Martin (43658653),Chris Martin,43658653,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,0.54
RP,Jakob Junis (43658659),Jakob Junis,43658659,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,2.97
RP,Seranthony Dominguez (43658661),Seranthony Dominguez,43658661,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,2.90
RP,Sean Newcomb (43658674),Sean Newcomb,43658674,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,4.50
RP,Jalen Beeks (43658684),Jalen Beeks,43658684,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,2.24
RP,Bryan Hudson (43658705),Bryan Hudson,43658705,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,3.11
RP,Jordan Hicks (43658706),Jordan Hicks,43658706,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,2.59
RP,Tyler Gilbert (43658707),Tyler Gilbert,43658707,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,-1.59
RP,Robert Garcia (43658721),Robert Garcia,43658721,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,1.87
RP,Prelander Berroa (43658767),Prelander Berroa,43658767,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,0
RP,Chris Murphy (43658775),Chris Murphy,43658775,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,2.94
RP,Cole Winn (43658781),Cole Winn,43658781,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,2.57
SP,Ky Bush (43658795),Ky Bush,43658795,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,0
RP,Peyton Gray (43658803),Peyton Gray,43658803,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,4.02
RP,Luis Curvelo (43658804),Luis Curvelo,43658804,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,0.39
RP,Gavin Collyer (43658812),Gavin Collyer,43658812,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,2.16
RP,Ben Peoples (43658817),Ben Peoples,43658817,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,2.54
RP,Robby Ahlstrom (43658824),Robby Ahlstrom,43658824,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,1.53
RP,Carter Baumler (43658841),Carter Baumler,43658841,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,3.54
RP,Wikelman Gonzalez (43658851),Wikelman Gonzalez,43658851,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,0
RP,Emiliano Teodo (43658854),Emiliano Teodo,43658854,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,-1.25
SP,Tanner McDougal (43658871),Tanner McDougal,43658871,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,0
RP,Jordan Leasure (43658878),Jordan Leasure,43658878,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,2.57
RP,Winston Santos (43658881),Winston Santos,43658881,P,4000,CWS@TEX 07/22/2026 08:05PM ET,TEX,0.7
